id,Umur,Kelas Pekerja,Berat Akhir,Pendidikan,Jmlh Tahun Pendidikan,Status Perkawinan,Pekerjaan,Jenis Kelamin,Keuntungan Kapital,Kerugian Capital,Jam per Minggu,Gaji
4773,21,?,242736,D3,12,Belum Pernah Menikah,?,Perempuan,0.0,0.0,40.0,<=7jt
4774,35,Wiraswasta,28572,Pendidikan Tinggi,10,Menikah,Perbaikan Kerajinan,Laki2,56896000.0,0.0,35.0,<=7jt
4775,23,Wiraswasta,384651,Pendidikan Tinggi,10,Menikah,Pembersih,Laki2,0.0,0.0,40.0,<=7jt
4776,66,Pemerintah Lokal,157942,SMA,9,Janda,Supir,Perempuan,0.0,0.0,40.0,<=7jt
4777,22,?,110622,Sarjana,13,Belum Pernah Menikah,?,Perempuan,0.0,0.0,15.0,<=7jt
4778,30,Wiraswasta,298871,Master,14,Menikah,Spesialis,Laki2,0.0,26418000.0,45.0,>7jt
4779,26,Pemerintah Provinsi,337575,Sarjana,13,Belum Pernah Menikah,Spesialis,Laki2,0.0,0.0,40.0,>7jt
4780,31,Wiraswasta,103772,Pendidikan Tinggi,10,Cerai,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
4781,47,Pemerintah Lokal,251588,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,>7jt
4782,43,Wiraswasta,72791,Pendidikan Tinggi,10,Menikah,Perbaikan Kerajinan,Laki2,72492000.0,0.0,40.0,>7jt
4783,34,Pemerintah Lokal,174215,Master,14,Menikah,Spesialis,Perempuan,107632000.0,0.0,35.0,>7jt
4784,43,Wiraswasta,131899,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,>7jt
4785,55,Pekerja Bebas Perusahaan,79662,SMA,9,Menikah,Supir,Laki2,0.0,0.0,60.0,<=7jt
4786,57,Wiraswasta,142076,SMA,9,Menikah,Mesin Inspeksi,Laki2,61404000.0,0.0,40.0,>7jt
4787,30,Wiraswasta,250804,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,>7jt
4788,28,Wiraswasta,202182,Pendidikan Tinggi,10,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,>7jt
4789,37,Wiraswasta,208358,Pendidikan Tinggi,10,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,>7jt
4790,41,Wiraswasta,309932,11th,7,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
4791,49,Wiraswasta,213668,Master,14,Menikah,Sales,Laki2,0.0,0.0,40.0,>7jt
4792,49,Wiraswasta,154451,11th,7,Cerai,Mesin Inspeksi,Perempuan,0.0,0.0,35.0,<=7jt
4793,30,Wiraswasta,291951,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
4794,47,Wiraswasta,152572,SMA,9,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,40.0,<=7jt
4795,59,?,169611,Pendidikan Tinggi,10,Menikah,?,Perempuan,102172000.0,0.0,12.0,>7jt
4796,50,Pekerja Bebas Bukan Perusahan,401118,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,1399986000.0,0.0,50.0,>7jt
4797,42,Wiraswasta,191765,SMA,9,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,32746000.0,40.0,<=7jt
4798,19,Wiraswasta,52372,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,20.0,<=7jt
4799,33,Wiraswasta,97521,SMA,9,Belum Pernah Menikah,Pemuka Agama,Laki2,0.0,0.0,40.0,<=7jt
4800,25,Wiraswasta,179138,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
4801,39,Wiraswasta,333305,Pendidikan Tinggi,10,Menikah,Sales,Perempuan,0.0,0.0,45.0,>7jt
4802,30,Pemerintah Lokal,181091,Sarjana,13,Menikah,Penjaga,Laki2,0.0,0.0,40.0,<=7jt
4803,26,Wiraswasta,304283,SMA,9,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,<=7jt
4804,51,Wiraswasta,250423,Pendidikan Tinggi,10,Menikah LDR,Supir,Laki2,0.0,0.0,40.0,<=7jt
4805,31,Wiraswasta,83413,SMA,9,Belum Pernah Menikah,Sales,Laki2,0.0,0.0,40.0,<=7jt
4806,26,Wiraswasta,61603,5th-6th,3,Menikah,Pembersih,Laki2,0.0,0.0,40.0,<=7jt
4807,41,Pekerja Bebas Perusahaan,93227,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,27678000.0,60.0,>7jt
4808,38,Pemerintah Lokal,202027,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,>7jt
4809,28,Wiraswasta,138283,D4,11,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,40.0,<=7jt
4810,26,Wiraswasta,108035,SMA,9,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,40.0,<=7jt
4811,43,Pekerja Bebas Bukan Perusahan,33521,Sarjana,13,Cerai,Spesialis,Laki2,0.0,0.0,70.0,>7jt
4812,32,Wiraswasta,464621,Pendidikan Tinggi,10,Belum Pernah Menikah,Petani,Laki2,0.0,0.0,40.0,<=7jt
4813,28,Wiraswasta,363257,Sarjana,13,Belum Pernah Menikah,Spesialis,Laki2,0.0,0.0,50.0,<=7jt
4814,50,Pemerintah Negara,24647,Pendidikan Tinggi,10,Menikah,Pemuka Agama,Laki2,0.0,0.0,40.0,>7jt
4815,50,Wiraswasta,176227,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,>7jt
4816,29,Wiraswasta,31166,SMA,9,Cerai,Spesialis,Perempuan,0.0,0.0,30.0,<=7jt
4817,55,Wiraswasta,220262,SMA,9,Cerai,Sales,Perempuan,0.0,0.0,40.0,<=7jt
4818,42,Wiraswasta,184018,Master,14,Menikah,Sales,Laki2,0.0,0.0,45.0,>7jt
4819,25,Wiraswasta,197871,Sarjana,13,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,50.0,<=7jt
4820,20,?,293091,SMA,9,Belum Pernah Menikah,?,Laki2,0.0,0.0,12.0,<=7jt
4821,25,Pemerintah Lokal,476599,Sarjana,13,Belum Pernah Menikah,Spesialis,Perempuan,0.0,0.0,40.0,<=7jt
4822,54,Pemerintah Lokal,277777,Sarjana,13,Menikah,Spesialis,Perempuan,43442000.0,0.0,40.0,>7jt
4823,59,Wiraswasta,70720,Sarjana,13,Cerai,Sales,Laki2,0.0,0.0,55.0,>7jt
4824,42,Wiraswasta,511068,Sarjana,13,Menikah,Spesialis,Laki2,107632000.0,0.0,40.0,>7jt
4825,53,Wiraswasta,122412,Sarjana,13,Belum Pernah Menikah,Spesialis,Perempuan,0.0,0.0,40.0,<=7jt
4826,29,Wiraswasta,99369,Sarjana,13,Belum Pernah Menikah,Spesialis,Perempuan,0.0,0.0,50.0,<=7jt
4827,51,Pekerja Bebas Bukan Perusahan,194259,Master,14,Menikah,Spesialis,Perempuan,210336000.0,0.0,55.0,>7jt
4828,54,Wiraswasta,103580,Sarjana,13,Cerai,Spesialis,Perempuan,0.0,0.0,40.0,<=7jt
4829,23,Wiraswasta,140798,Sarjana,13,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
4830,60,Wiraswasta,82388,Pendidikan Tinggi,10,Menikah,Penjaga,Laki2,0.0,0.0,38.0,<=7jt
4831,54,Wiraswasta,175594,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
4832,46,Wiraswasta,132912,SMA,9,Menikah,Sales,Laki2,0.0,0.0,45.0,>7jt
4833,26,Wiraswasta,248612,Sarjana,13,Belum Pernah Menikah,Spesialis,Laki2,0.0,0.0,30.0,<=7jt
4834,31,Wiraswasta,271933,Pendidikan Tinggi,10,Menikah,Mesin Inspeksi,Perempuan,0.0,0.0,40.0,<=7jt
4835,45,Wiraswasta,232586,Pendidikan Tinggi,10,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,50.0,>7jt
4836,44,Wiraswasta,205051,10th,6,Cerai,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
4837,90,Pekerja Bebas Bukan Perusahan,155981,Sarjana,13,Menikah,Spesialis,Laki2,147924000.0,0.0,50.0,<=7jt
4838,43,Wiraswasta,187702,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Laki2,30436000.0,0.0,45.0,<=7jt
4839,45,Wiraswasta,224559,10th,6,Menikah,Pemuka Agama,Laki2,0.0,0.0,40.0,<=7jt
4840,25,Wiraswasta,233777,SMA,9,Belum Pernah Menikah,Supir,Laki2,0.0,0.0,40.0,<=7jt
4841,22,Wiraswasta,255575,SMA,9,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,35.0,<=7jt
4842,46,Pemerintah Provinsi,55237,Pendidikan Tinggi,10,Cerai,Mesin Inspeksi,Laki2,0.0,0.0,40.0,<=7jt
4843,24,Wiraswasta,310380,Pendidikan Tinggi,10,Menikah LDR,Pemuka Agama,Perempuan,0.0,0.0,45.0,<=7jt
4844,23,Wiraswasta,125106,Sarjana,13,Belum Pernah Menikah,Spesialis,Perempuan,0.0,0.0,40.0,<=7jt
4845,33,Wiraswasta,300497,Pendidikan Tinggi,10,Cerai,Mesin Inspeksi,Laki2,0.0,0.0,40.0,<=7jt
4846,51,Wiraswasta,224207,Pendidikan Tinggi,10,Menikah,Sales,Laki2,0.0,0.0,40.0,>7jt
4847,28,Pekerja Bebas Bukan Perusahan,96219,Sarjana,13,Menikah,Sales,Perempuan,0.0,0.0,5.0,<=7jt
4848,45,Wiraswasta,238567,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,>7jt
4849,23,Wiraswasta,189461,SMA,9,Belum Pernah Menikah,Sales,Laki2,0.0,0.0,55.0,<=7jt
4850,31,Wiraswasta,209101,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,50.0,>7jt
4851,42,Pemerintah Lokal,209818,Sarjana,13,Cerai,Spesialis,Perempuan,0.0,0.0,55.0,<=7jt
4852,37,Pemerintah Negara,172425,SMA,9,Cerai,Servis Lainnya,Perempuan,0.0,0.0,40.0,<=7jt
4853,42,Wiraswasta,273230,Sarjana,13,Menikah,Spesialis,Laki2,0.0,0.0,90.0,<=7jt
4854,40,Wiraswasta,252392,5th-6th,3,Menikah,Servis Lainnya,Laki2,0.0,0.0,40.0,<=7jt
4855,26,Wiraswasta,150361,Pendidikan Tinggi,10,Belum Pernah Menikah,Tech-support,Perempuan,0.0,0.0,40.0,<=7jt
4856,23,Wiraswasta,299047,Sarjana,13,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,40.0,<=7jt
4857,22,?,144210,11th,7,Menikah,?,Perempuan,0.0,0.0,20.0,<=7jt
4858,73,Wiraswasta,187334,Pendidikan Tinggi,10,Menikah,Penjaga,Laki2,0.0,0.0,40.0,<=7jt
4859,24,Wiraswasta,329530,9th,5,Menikah,Sales,Laki2,0.0,0.0,45.0,<=7jt
4860,28,Wiraswasta,130067,Sarjana,13,Menikah,Spesialis,Perempuan,0.0,0.0,40.0,>7jt
4861,30,Pemerintah Provinsi,54684,Sekolah Professional,15,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,55.0,<=7jt
4862,34,Wiraswasta,178623,Sarjana,13,Menikah,Spesialis,Perempuan,0.0,0.0,35.0,<=7jt
4863,43,Wiraswasta,184321,10th,6,Menikah,Mesin Inspeksi,Laki2,0.0,26418000.0,40.0,>7jt
4864,46,Pemerintah Lokal,66934,Sarjana,13,Cerai,Spesialis,Perempuan,0.0,0.0,45.0,<=7jt
4865,36,Wiraswasta,111128,Pendidikan Tinggi,10,Berpisah,Ekesekutif Managerial,Laki2,0.0,0.0,60.0,>7jt
4866,33,Pekerja Bebas Bukan Perusahan,38223,SMA,9,Belum Pernah Menikah,Petani,Laki2,0.0,0.0,70.0,<=7jt
4867,56,Pemerintah Negara,175057,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,<=7jt
4868,31,Wiraswasta,186144,7th-8th,4,Belum Pernah Menikah,Mesin Inspeksi,Perempuan,0.0,0.0,40.0,<=7jt
4869,27,Wiraswasta,212578,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,24094000.0,20.0,<=7jt
4870,33,Wiraswasta,240441,Pendidikan Tinggi,10,Cerai,Perbaikan Kerajinan,Laki2,0.0,0.0,45.0,<=7jt
4871,33,Wiraswasta,143540,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
4872,39,Wiraswasta,230467,Sarjana,13,Belum Pernah Menikah,Sales,Laki2,0.0,15288000.0,40.0,<=7jt
4873,29,Wiraswasta,242597,Sarjana,13,Belum Pernah Menikah,Tech-support,Laki2,0.0,0.0,40.0,<=7jt
4874,37,Wiraswasta,318168,SMA,9,Belum Pernah Menikah,Mesin Inspeksi,Laki2,14770000.0,0.0,20.0,<=7jt
4875,33,Wiraswasta,276221,Doktor,16,Menikah,Spesialis,Laki2,0.0,0.0,40.0,<=7jt
4876,35,Wiraswasta,132879,Pendidikan Tinggi,10,Menikah,Tech-support,Laki2,0.0,0.0,40.0,>7jt
4877,37,Wiraswasta,172927,Pendidikan Tinggi,10,Cerai,Supir,Laki2,0.0,24374000.0,70.0,<=7jt
4878,54,Pekerja Bebas Bukan Perusahan,207841,SMA,9,Cerai,Spesialis,Laki2,0.0,0.0,20.0,<=7jt
4879,41,Wiraswasta,75012,SMA,9,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,50.0,<=7jt
4880,50,Wiraswasta,75472,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,61404000.0,0.0,40.0,<=7jt
4881,36,Pemerintah Lokal,187411,Master,14,Belum Pernah Menikah,Spesialis,Laki2,0.0,0.0,50.0,>7jt
4882,44,Wiraswasta,150076,SMA,9,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,30.0,<=7jt
4883,49,Pekerja Bebas Bukan Perusahan,34845,D4,11,Cerai,Supir,Laki2,0.0,0.0,48.0,<=7jt
4884,19,Wiraswasta,198668,SMA,9,Belum Pernah Menikah,Pembersih,Laki2,0.0,0.0,40.0,<=7jt
4885,20,Pemerintah Lokal,240517,Pendidikan Tinggi,10,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,20.0,<=7jt
4886,41,Wiraswasta,56795,Master,14,Menikah,Spesialis,Perempuan,0.0,0.0,45.0,<=7jt
4887,52,Wiraswasta,178983,11th,7,Menikah,Servis Lainnya,Laki2,0.0,0.0,40.0,<=7jt
4888,57,Pemerintah Lokal,323309,7th-8th,4,Cerai,Servis Lainnya,Laki2,0.0,0.0,40.0,<=7jt
4889,48,Pemerintah Provinsi,33084,Sarjana,13,Menikah,Penjaga,Laki2,0.0,0.0,50.0,>7jt
4890,36,Pemerintah Lokal,101481,SMA,9,Belum Pernah Menikah,Pemuka Agama,Laki2,0.0,0.0,40.0,<=7jt
4891,24,Wiraswasta,126822,SMA,9,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,45.0,<=7jt
4892,35,Pemerintah Provinsi,133935,Sarjana,13,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,>7jt
4893,39,Pekerja Bebas Bukan Perusahan,251710,10th,6,Menikah LDR,Servis Lainnya,Perempuan,0.0,24094000.0,15.0,<=7jt
4894,40,Pemerintah Provinsi,187164,Sarjana,13,Belum Pernah Menikah,Tech-support,Laki2,0.0,0.0,40.0,<=7jt
4895,23,Wiraswasta,250743,Pendidikan Tinggi,10,Cerai,Pemuka Agama,Laki2,0.0,0.0,40.0,<=7jt
4896,47,Wiraswasta,363418,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Laki2,0.0,0.0,70.0,>7jt
4897,25,Wiraswasta,243410,SMA,9,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,40.0,<=7jt
4898,48,Wiraswasta,75104,Sarjana,13,Menikah,Spesialis,Laki2,0.0,0.0,50.0,<=7jt
4899,48,Wiraswasta,154033,SMA,9,Cerai,Sales,Perempuan,0.0,0.0,52.0,<=7jt
4900,36,Pekerja Bebas Bukan Perusahan,119272,SMA,9,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,38.0,<=7jt
4901,29,?,168873,Pendidikan Tinggi,10,Cerai,?,Perempuan,0.0,0.0,30.0,<=7jt
4902,19,Wiraswasta,307761,SMA,9,Belum Pernah Menikah,Sales,Laki2,0.0,0.0,15.0,<=7jt
4903,37,Pemerintah Negara,186934,Pendidikan Tinggi,10,Menikah,Servis Lainnya,Laki2,0.0,0.0,40.0,<=7jt
4904,70,?,308689,5th-6th,3,Menikah,?,Laki2,0.0,0.0,40.0,<=7jt
4905,64,Wiraswasta,301352,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
4906,29,Wiraswasta,273051,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,52.0,>7jt
4907,23,Wiraswasta,57898,Pendidikan Tinggi,10,Belum Pernah Menikah,Petani,Laki2,0.0,0.0,30.0,<=7jt
4908,49,Wiraswasta,143459,9th,5,Berpisah,Pembersih,Laki2,0.0,0.0,38.0,<=7jt
4909,46,Wiraswasta,114222,D4,11,Cerai,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,<=7jt
4910,52,Pemerintah Provinsi,165050,SMA,9,Belum Pernah Menikah,Pemuka Agama,Laki2,0.0,0.0,48.0,>7jt
4911,23,Pemerintah Provinsi,344394,Pendidikan Tinggi,10,Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
4912,36,Wiraswasta,37778,Pendidikan Tinggi,10,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,<=7jt
4913,30,Wiraswasta,90446,7th-8th,4,Menikah,Petani,Laki2,0.0,0.0,40.0,<=7jt
4914,49,Wiraswasta,165953,SMA,9,Menikah,Mesin Inspeksi,Laki2,0.0,26628000.0,40.0,<=7jt
4915,25,?,218948,7th-8th,4,Belum Pernah Menikah,?,Perempuan,0.0,0.0,32.0,<=7jt
4916,24,Wiraswasta,388885,SMA,9,Belum Pernah Menikah,Mesin Inspeksi,Laki2,0.0,0.0,48.0,<=7jt
4917,25,Pemerintah Provinsi,55636,SMA,9,Belum Pernah Menikah,Pembersih,Laki2,0.0,0.0,40.0,<=7jt
4918,42,Wiraswasta,344572,SMA,9,Cerai,Ekesekutif Managerial,Perempuan,0.0,0.0,40.0,>7jt
4919,21,Wiraswasta,232591,SMA,9,Belum Pernah Menikah,Pemuka Agama,Laki2,0.0,0.0,40.0,<=7jt
4920,22,Wiraswasta,310197,7th-8th,4,Menikah,Pembersih,Laki2,0.0,0.0,40.0,<=7jt
4921,38,Wiraswasta,38145,SMA,9,Menikah,Sales,Laki2,0.0,0.0,44.0,<=7jt
4922,42,Wiraswasta,173628,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,>7jt
4923,26,Wiraswasta,252565,10th,6,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,55.0,<=7jt
4924,31,Pekerja Bebas Perusahaan,31740,D4,11,Menikah,Petani,Laki2,0.0,0.0,55.0,<=7jt
4925,27,Wiraswasta,177057,SMA,9,Belum Pernah Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,<=7jt
4926,36,Pekerja Bebas Perusahaan,216711,SMA,9,Menikah,Ekesekutif Managerial,Laki2,1399986000.0,0.0,50.0,>7jt
4927,44,Pekerja Bebas Bukan Perusahan,136986,Pendidikan Tinggi,10,Menikah,Sales,Laki2,0.0,0.0,25.0,<=7jt
4928,48,Wiraswasta,165484,Pendidikan Tinggi,10,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,65.0,>7jt
4929,19,Wiraswasta,92863,SMA,9,Belum Pernah Menikah,Sales,Laki2,0.0,0.0,20.0,<=7jt
4930,49,Pemerintah Negara,216734,Sekolah Professional,15,Cerai,Ekesekutif Managerial,Perempuan,0.0,0.0,40.0,<=7jt
4931,60,Wiraswasta,317083,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,45.0,>7jt
4932,58,Pemerintah Negara,185338,Sarjana,13,Janda,Tech-support,Perempuan,0.0,0.0,40.0,>7jt
4933,64,?,187656,1st-4th,2,Cerai,?,Laki2,0.0,0.0,40.0,<=7jt
4934,27,Pekerja Bebas Bukan Perusahan,206889,Pendidikan Tinggi,10,Menikah,Petani,Laki2,0.0,0.0,50.0,<=7jt
4935,37,Pekerja Bebas Perusahaan,97986,D3,12,Menikah,Sales,Laki2,0.0,0.0,68.0,<=7jt
4936,50,Pekerja Bebas Perusahaan,163921,SMA,9,Menikah,Sales,Laki2,0.0,0.0,48.0,>7jt
4937,46,Pekerja Bebas Bukan Perusahan,182541,SMA,9,Menikah,Petani,Laki2,0.0,23408000.0,50.0,<=7jt
4938,19,?,195282,SMA,9,Belum Pernah Menikah,?,Perempuan,0.0,0.0,20.0,<=7jt
4939,43,Wiraswasta,72338,Master,14,Menikah,Tech-support,Laki2,0.0,0.0,40.0,>7jt
4940,53,Wiraswasta,173754,SMA,9,Menikah,Pembersih,Laki2,0.0,0.0,40.0,>7jt
4941,20,Wiraswasta,344698,Pendidikan Tinggi,10,Belum Pernah Menikah,Mesin Inspeksi,Laki2,0.0,0.0,30.0,<=7jt
4942,45,Wiraswasta,61751,SMA,9,Menikah,Servis Lainnya,Perempuan,0.0,0.0,35.0,<=7jt
4943,29,Wiraswasta,445480,12th,8,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,<=7jt
4944,64,Pekerja Bebas Bukan Perusahan,106538,Master,14,Cerai,Spesialis,Laki2,0.0,0.0,50.0,<=7jt
4945,43,Wiraswasta,212206,SMA,9,Cerai,Pemuka Agama,Perempuan,0.0,0.0,45.0,<=7jt
4946,54,Wiraswasta,311020,SMA,9,Menikah,Servis Lainnya,Laki2,0.0,0.0,50.0,<=7jt
4947,25,Wiraswasta,69739,10th,6,Belum Pernah Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,<=7jt
4948,18,Wiraswasta,162084,SMA,9,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,40.0,<=7jt
4949,51,Wiraswasta,123429,SMA,9,Menikah,Pembersih,Laki2,0.0,0.0,40.0,<=7jt
4950,42,Pemerintah Lokal,19700,Sarjana,13,Menikah,Spesialis,Perempuan,0.0,0.0,50.0,>7jt
4951,61,?,31285,7th-8th,4,Berpisah,?,Laki2,0.0,0.0,40.0,<=7jt
4952,17,Wiraswasta,93235,12th,8,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,24094000.0,25.0,<=7jt
4953,27,Wiraswasta,109997,SMA,9,Cerai,Servis Lainnya,Perempuan,0.0,0.0,40.0,<=7jt
4954,37,Wiraswasta,112838,Master,14,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,55.0,>7jt
4955,57,Wiraswasta,437727,Master,14,Menikah,Spesialis,Laki2,0.0,27678000.0,45.0,>7jt
4956,47,Wiraswasta,122026,D4,11,Cerai,Sales,Laki2,0.0,0.0,50.0,<=7jt
4957,20,Wiraswasta,92863,SMA,9,Cerai,Mesin Inspeksi,Laki2,0.0,0.0,40.0,<=7jt
4958,35,Wiraswasta,37778,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,50.0,<=7jt
4959,37,Wiraswasta,184556,Pendidikan Tinggi,10,Cerai,Tech-support,Perempuan,0.0,0.0,40.0,<=7jt
4960,34,Pekerja Bebas Bukan Perusahan,120672,7th-8th,4,Belum Pernah Menikah,Pembersih,Laki2,0.0,0.0,10.0,<=7jt
4961,22,?,121070,Pendidikan Tinggi,10,Belum Pernah Menikah,?,Laki2,0.0,0.0,35.0,<=7jt
4962,31,Pekerja Bebas Bukan Perusahan,283587,SMA,9,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,50.0,>7jt
4963,24,Pemerintah Lokal,196816,Pendidikan Tinggi,10,Belum Pernah Menikah,Penjaga,Laki2,0.0,0.0,50.0,<=7jt
4964,21,Wiraswasta,27049,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,20.0,<=7jt
4965,36,Pekerja Bebas Bukan Perusahan,313853,Sarjana,13,Cerai,Servis Lainnya,Laki2,0.0,0.0,45.0,>7jt
4966,47,Wiraswasta,343579,SMA,9,Menikah,Servis Lainnya,Laki2,0.0,0.0,40.0,<=7jt
4967,38,Wiraswasta,112561,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,55.0,>7jt
4968,43,Wiraswasta,315037,Sarjana,13,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,45.0,>7jt
4969,21,Wiraswasta,263886,Pendidikan Tinggi,10,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,20.0,<=7jt
4970,44,Pemerintah Lokal,202872,Pendidikan Tinggi,10,Cerai,Spesialis,Perempuan,0.0,0.0,25.0,<=7jt
4971,20,Wiraswasta,183594,Pendidikan Tinggi,10,Belum Pernah Menikah,Pembersih,Laki2,0.0,0.0,50.0,<=7jt
4972,35,Wiraswasta,241306,SMA,9,Menikah,Mesin Inspeksi,Laki2,70182000.0,0.0,40.0,<=7jt
4973,19,Wiraswasta,466458,Pendidikan Tinggi,10,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,20.0,<=7jt
4974,28,Pemerintah Lokal,169069,SMA,9,Belum Pernah Menikah,Penjaga,Laki2,0.0,0.0,40.0,<=7jt
4975,29,Wiraswasta,327964,9th,5,Cerai,Mesin Inspeksi,Perempuan,0.0,0.0,40.0,<=7jt
4976,32,Wiraswasta,207685,SMA,9,Menikah,Pembersih,Perempuan,54712000.0,0.0,40.0,<=7jt
4977,36,Wiraswasta,117528,SMA,9,Berpisah,Pemuka Agama,Perempuan,0.0,0.0,38.0,<=7jt
4978,44,Wiraswasta,165815,SMA,9,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,60.0,>7jt
4979,27,Wiraswasta,175262,Sarjana,13,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,<=7jt
4980,37,Wiraswasta,186191,SMA,9,Menikah,Servis Lainnya,Laki2,0.0,0.0,45.0,<=7jt
4981,31,Pekerja Bebas Bukan Perusahan,281030,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,45.0,<=7jt
4982,54,Pekerja Bebas Bukan Perusahan,163815,Master,14,Cerai,Sales,Laki2,0.0,0.0,60.0,<=7jt
4983,24,Pemerintah Lokal,212210,D3,12,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,20.0,<=7jt
4984,40,Wiraswasta,199513,Master,14,Cerai,Ekesekutif Managerial,Laki2,0.0,19712000.0,50.0,<=7jt
4985,53,Wiraswasta,158294,Master,14,Menikah,Spesialis,Laki2,102172000.0,0.0,40.0,>7jt
4986,32,Wiraswasta,236543,12th,8,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
4987,37,Wiraswasta,185068,Sarjana,13,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,20.0,<=7jt
4988,28,Wiraswasta,197484,SMA,9,Belum Pernah Menikah,Pembersih,Laki2,0.0,0.0,40.0,<=7jt
4989,45,Wiraswasta,205100,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,210336000.0,0.0,60.0,>7jt
